,target,alt_tar_lst,phon,sem
2155,missionary,densities,8.0,0.7806286660967277
2156,densities,densities,0.0,1.1102230246251565e-16
2157,densities,density,3.0,0.31377468474415093
2158,densities,destiny,4.0,0.7727226837185668
2159,densities,missionary,8.0,0.7806286660967277
2160,destiny,destiny,0.0,0.0
2161,destiny,density,3.0,0.7436491727101526
2162,destiny,embargo,7.0,0.7593124861848167
2163,destiny,destinies,3.0,0.5312484377023965
2164,density,density,0.0,0.0
2165,density,destiny,3.0,0.7436491727101526
2166,density,embargo,7.0,0.7656557388218261
2167,density,destinies,5.0,0.7619590688982127
2168,embargo,embargo,0.0,2.220446049250313e-16
2169,embargo,destiny,7.0,0.7593124861848167
2170,embargo,density,7.0,0.7656557388218261
2171,embargo,destinies,8.0,0.7396012071584205
2172,destinies,destinies,0.0,0.0
2173,destinies,destiny,3.0,0.5312484377023965
2174,destinies,density,5.0,0.7619590688982127
2175,destinies,embargo,8.0,0.7396012071584205
2176,message,message,0.0,0.0
2177,message,massage,1.0,0.7417246768510173
2178,message,tapestry,7.0,0.7645881718104901
2179,message,messages,1.0,0.21713463892509843
2180,massage,massage,0.0,0.0
2181,massage,message,1.0,0.7417246768510173
2182,massage,tapestry,6.0,0.7203345586550036
2183,massage,messages,2.0,0.7154810473667104
2184,tapestry,tapestry,0.0,3.700743415417188e-17
2185,tapestry,message,7.0,0.7645881718104901
2186,tapestry,massage,6.0,0.7203345586550036
2187,tapestry,messages,8.0,0.7924138022220832
2188,messages,messages,0.0,0.0
2189,messages,message,1.0,0.21713463892509843
2190,messages,massage,2.0,0.7154810473667104
2191,messages,tapestry,8.0,0.7924138022220832
2192,massage,massage,0.0,0.0
2193,massage,message,1.0,0.7417246768510173
2194,massage,cartridge,6.0,0.7660118261603415
2195,massage,massages,1.0,0.6960226448389368
2196,message,message,0.0,0.0
2197,message,massage,1.0,0.7417246768510173
2198,message,cartridge,7.0,0.7426736689491201
2199,message,massages,2.0,0.7735857316406882
2200,cartridge,cartridge,0.0,0.0
2201,cartridge,massage,6.0,0.7660118261603415
2202,cartridge,message,7.0,0.7426736689491201
2203,cartridge,massages,7.0,0.7685176502707659
2204,massages,massages,0.0,1.1102230246251565e-16
